MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,AP_DIFF,SEMIMINOR_AXIS,ORBITAL_VELOCITY,TARGET,RCS_SIZE_MEDIUM,RCS_SIZE_SMALL
2.92169986,0.6528926,7.7156,90.241,243.1216,38.7796,23588,0.024341,8.83e-06,0.0,20668.618,492.864,27784.871,796.095,26988.776,15655.454941744354,4.3915028459843946,1,1,0
13.75497324,0.003072,82.9193,299.112,158.9093,201.3337,50124,6.5913e-05,7.9e-07,0.0,7358.038,104.689,1002.507,957.299,45.20799999999997,7358.003280338842,7.360170494754537,1,0,1
1.03822361,0.0237386,12.1717,16.5368,250.1248,146.29,7798,0.0,-1.65e-06,0.0,41197.852,1386.984,35797.696,33841.738,1955.958000000006,41186.24243415512,3.110509995821668,0,0,0
14.77590694,0.0060618,98.4781,8.7205,37.3771,323.1632,10204,0.00031568,2.265e-05,0.0,7015.076,97.456,679.465,594.417,85.048,7014.947112861676,7.537940371054507,1,0,1
14.72448242,0.0062255,98.4232,122.0724,345.1605,27.6061,9622,0.00040799,2.61e-05,0.0,7031.4,97.796,697.039,609.491,87.548,7031.263741221323,7.529185298163991,1,0,1
14.38476477,0.0085229,98.7597,287.9689,54.53,306.3803,8096,8.3392e-05,2.18e-06,0.0,7141.674,100.106,824.406,702.671,121.7349999999999,7141.414610316733,7.470830393479233,1,0,1
0.99004751,0.000347,4.6906,78.1846,223.9574,172.3174,2939,0.0,7.4e-07,0.0,42523.71,1454.476,36160.331,36130.82,29.510999999998603,42523.707439881226,3.061634294970672,0,0,0
2.23844183,0.7052274,1.3497,331.9982,336.4349,76.7499,16759,-0.0015726,2.4e-07,0.0,24685.275,643.305,35715.872,898.408,34817.464,17501.39541022457,4.018369816369089,0,0,0
2.73852195,0.6743901,26.0813,147.4319,62.8851,354.2763,20574,0.00067421,-3.3e-07,0.0,21580.311,525.831,29755.723,648.628,29107.095,15934.367284335793,4.297739008647812,1,0,1
1.00271049,0.0003655,5.0375,75.2284,162.742,225.241,2868,0.0,4.6e-07,0.0,42164.938,1436.107,35802.215,35771.392,30.82299999999668,42164.93518358761,3.074632084468547,0,0,0
1.86700772,0.5146261,16.3165,183.7808,30.2176,155.7881,13958,0.0,-1.24e-06,0.0,27859.358,771.288,35818.375,7144.07,28674.305,23887.023234845103,3.78253831408386,0,0,0
2.64921844,0.6809499,27.9497,27.7801,208.1422,163.5573,6803,0.0015186,-8.1e-07,0.0,22062.599,543.557,30707.988,660.939,30047.049000000003,16157.103197823011,4.250505202766677,1,1,0
2.6021208,0.6769548,26.926,358.9858,204.1448,354.4938,19831,-0.0046055,-2.82e-06,0.0,22328.02,553.395,31064.945,834.825,30230.12,16433.971791377102,4.225166051190465,1,0,1
2.58770109,0.6297464,26.9303,355.7855,356.9946,11.8641,9666,0.0,-1.29e-06,0.0,22410.89,556.478,30145.932,1919.578,28226.354,17408.797119242972,4.217346999981299,1,1,0
3.34969965,0.6343318,27.418,172.6745,38.9033,352.9315,26317,0.0020663,4.13e-06,0.0,18868.234,429.889,24458.82,521.378,23937.442,14586.294108774486,4.596245958967779,1,1,0
8.05750932,0.365277,26.4351,81.3437,160.0386,219.1424,58518,0.0026188,0.00035012,0.0,10509.966,178.715,7970.879,292.782,7678.097,9783.715513239387,6.158404801070076,1,1,0
2.68126894,0.6576568,27.3485,85.8947,282.9278,87.2713,21258,0.0,-6.1e-07,0.0,21886.43,537.059,29902.054,1114.535,28787.519,16487.434764244663,4.26757757258489,1,1,0
2.79534088,0.6824598,30.09,149.3319,131.7448,310.9147,20189,0.0076506,5.414e-05,0.0,21286.879,515.143,29436.183,381.305,29054.878,15559.072218092177,4.32725902231418,1,0,1
2.05139493,0.6316531,67.7305,124.7652,10.9785,358.1383,19009,0.0,6.32e-06,0.0,26163.89,701.961,36312.258,3259.253,33053.005000000005,20283.58607563368,3.90317236793676,1,1,0
2.26280952,0.7003414,7.4613,339.3342,232.0774,41.3298,17190,-0.028287,-5.38e-06,0.0,24507.735,636.377,35293.382,965.819,34327.562999999995,17493.818379219323,4.032898576096023,1,1,0
2.2309136,0.6983077,3.7825,348.3277,178.4621,66.0985,7549,0.0,-1.25e-06,0.0,24740.777,645.475,35639.318,1085.967,34553.351,17709.39142481501,4.013859998755739,1,1,0
8.50331215,0.35186,34.6905,351.133,222.1016,104.8228,56308,0.00041836,0.00053754,-2.69e-07,10139.342,169.346,7328.835,193.578,7135.257,9490.957822856382,6.269948907009574,1,0,1
2.87979738,0.6632302,7.4066,147.3828,1.4583,272.5165,7933,-0.0085418,-6.23e-06,0.0,20868.627,500.035,28331.196,649.788,27681.408,15618.40309028619,4.370407668412051,1,1,0
2.17396536,0.7031328,5.6919,175.421,6.8904,265.7559,16909,0.0,-9.5e-07,0.0,25170.978,662.384,36491.384,1094.303,35397.081,17898.039190198713,3.979411428173403,1,0,0
2.17367064,0.70429,5.6838,154.002,48.0946,47.2933,17668,0.0,-1.79e-06,0.0,25173.253,662.474,36524.389,1065.848,35458.541000000005,17870.804102451784,3.979231607044401,1,1,0
2.14311986,0.7214417,6.2895,266.9641,35.3202,146.6877,6016,0.0019754,1.15e-06,0.0,25411.923,671.918,37367.009,700.567,36666.442,17597.125927609275,3.9605009564170097,1,1,0
